,Tweets Ago,Media,Tweet,Date,Compound,Positive,Negative,Neutral
0,1,BBC,✊ What makes a hero? https://t.co/ZrMGLQQkdn https://t.co/7bZjKUD9DJ,Mon Jan 22 09:00:38 +0000 2018,0.5574,0.474,0.526,0.0
1,2,BBC,"RT @bbcgetinspired: If you're afraid of heights, best not watch this! 🤢

If not, now's your chance to start a new sport ➡ https://t.co/c2i7…",Mon Jan 22 08:51:42 +0000 2018,0.5792,0.178,0.753,0.069
2,3,BBC,RT @TWBBC: Watch @ProfBrianCox and @ericschmidt discuss the future of Artificial Intelligence @sciencemuseum tonight at 7:30pm on https://t…,Mon Jan 22 08:46:59 +0000 2018,0.4767,0.154,0.846,0.0
3,4,BBC,"RT @bbcpress: A rising cello star uncovers long-buried secrets in a remote Welsh community...
Meet the cast and creative team behind #Requi…",Mon Jan 22 08:46:24 +0000 2018,0.4404,0.132,0.868,0.0
4,5,BBC,"RT @CBeebiesHQ: 🚨BLOOPER ALERT!🚨

At least it's not an elephant doing a number 2 in the studio- eh Justin? 🐩💦

New series of Something Spec…",Mon Jan 22 08:46:20 +0000 2018,0.1511,0.067,0.933,0.0
5,6,BBC,The Bayeux Tapestry is set to be displayed in the UK - and it'll be the first time it's left France in 950 years! 😮 https://t.co/5zOfEl42k3,Mon Jan 22 08:40:13 +0000 2018,0.0,0.0,1.0,0.0
6,7,BBC,🙅📱 Using social media in the last 30 minutes before bed could be the single strongest indicator of a poor night’s s… https://t.co/G6e9LQfutc,Mon Jan 22 08:20:06 +0000 2018,-0.0516,0.112,0.769,0.119
7,8,BBC,"If only getting ready for work were this easy. 😫

#MondayMorning https://t.co/XYFtEZRiMe",Mon Jan 22 08:00:06 +0000 2018,0.7073,0.395,0.605,0.0
8,9,BBC,"Cape Town is a world-renowned tourist destination, known for its penguins, sun &amp; sea.

🚰 But it could also become f… https://t.co/53I3sUPMEQ",Mon Jan 22 07:38:09 +0000 2018,0.0,0.0,1.0,0.0
9,10,BBC,"RT @BBCSport: QPR's goalkeeper's water bottle was urinated in during a match.

Here's the full story: https://t.co/lxrXoSMSmg https://t.co/…",Sun Jan 21 21:36:41 +0000 2018,0.0,0.0,1.0,0.0
10,11,BBC,"RT @bbcmusic: The incredible @ConchitaWurst is coming to @BBCRadio2 in Feb backed by a 60 piece orchestra! 😍😱

18 reasons to feel cheerful…",Sun Jan 21 21:36:20 +0000 2018,0.1007,0.062,0.938,0.0
11,12,BBC,RT @BBCOne: When he gets you a present you actually like. #CallTheMidwife https://t.co/S8yWnzPyZs,Sun Jan 21 21:35:59 +0000 2018,0.3612,0.185,0.815,0.0
12,13,BBC,RT @BBCNWT: This Harry Potter Charity shop in Stockport will leave Potterheads Spellbound ❤️️ https://t.co/Y0RPfcQbbr,Sun Jan 21 21:35:56 +0000 2018,0.3818,0.165,0.765,0.071
13,14,BBC,There's skele-TONS of work that goes in to making @BBCOne's #SilentWitness. 💀 https://t.co/0re7JcsX7Q,Sun Jan 21 20:00:08 +0000 2018,0.0,0.0,1.0,0.0
14,15,BBC,"🏃 Fire, ice, leeches and... cream cheese. 🤔

Here are some of the most out-there methods of getting back in action… https://t.co/ri6e791pbQ",Sun Jan 21 19:30:11 +0000 2018,-0.34,0.0,0.888,0.112
15,16,BBC,"The winter continues and the team at Nonnatus House welcome their newest midwife. 🍼 👶

#CallTheMidwife | 8pm |… https://t.co/zScACk0PyI",Sun Jan 21 18:30:14 +0000 2018,0.4588,0.158,0.842,0.0
16,17,BBC,"🦋❤️️ Tommy was abused in a care home as a boy. 

Now at 81, he's making up for the childhood he never had. https://t.co/k5Bi1LRM5g",Sun Jan 21 18:00:07 +0000 2018,-0.0258,0.121,0.755,0.125
17,18,BBC,"❄ #WINTERWATCH ❄ IS ❄ COMING ❄

🤔🐿 Got questions for the @BBCSpringwatch experts about your backyard winter wildlif… https://t.co/HOiXWNHh1H",Sun Jan 21 17:30:06 +0000 2018,0.0,0.0,1.0,0.0
18,19,BBC,"'I deliberately used demeaning language to make her lose confidence in her reading of the situation, of my infideli… https://t.co/0Wy9QvuSlK",Sun Jan 21 16:30:10 +0000 2018,0.1531,0.137,0.75,0.113
19,20,BBC,"Wild, wild, wild 💫🎶
💕 @Harry_Styles' #LiveLounge cover of Wild Thoughts is EVERYTHING. 

Watch in full here 👉… https://t.co/yhrg88nJu3",Sun Jan 21 16:00:02 +0000 2018,0.0,0.0,1.0,0.0
20,21,BBC,✊ What makes a hero? https://t.co/ZrMGLQQkdn https://t.co/7bZjKUD9DJ,Mon Jan 22 09:00:38 +0000 2018,0.5574,0.474,0.526,0.0
21,22,BBC,"RT @bbcgetinspired: If you're afraid of heights, best not watch this! 🤢

If not, now's your chance to start a new sport ➡ https://t.co/c2i7…",Mon Jan 22 08:51:42 +0000 2018,0.5792,0.178,0.753,0.069
22,23,BBC,RT @TWBBC: Watch @ProfBrianCox and @ericschmidt discuss the future of Artificial Intelligence @sciencemuseum tonight at 7:30pm on https://t…,Mon Jan 22 08:46:59 +0000 2018,0.4767,0.154,0.846,0.0
23,24,BBC,"RT @bbcpress: A rising cello star uncovers long-buried secrets in a remote Welsh community...
Meet the cast and creative team behind #Requi…",Mon Jan 22 08:46:24 +0000 2018,0.4404,0.132,0.868,0.0
24,25,BBC,"RT @CBeebiesHQ: 🚨BLOOPER ALERT!🚨

At least it's not an elephant doing a number 2 in the studio- eh Justin? 🐩💦

New series of Something Spec…",Mon Jan 22 08:46:20 +0000 2018,0.1511,0.067,0.933,0.0
25,26,BBC,The Bayeux Tapestry is set to be displayed in the UK - and it'll be the first time it's left France in 950 years! 😮 https://t.co/5zOfEl42k3,Mon Jan 22 08:40:13 +0000 2018,0.0,0.0,1.0,0.0
26,27,BBC,🙅📱 Using social media in the last 30 minutes before bed could be the single strongest indicator of a poor night’s s… https://t.co/G6e9LQfutc,Mon Jan 22 08:20:06 +0000 2018,-0.0516,0.112,0.769,0.119
27,28,BBC,"If only getting ready for work were this easy. 😫

#MondayMorning https://t.co/XYFtEZRiMe",Mon Jan 22 08:00:06 +0000 2018,0.7073,0.395,0.605,0.0
28,29,BBC,"Cape Town is a world-renowned tourist destination, known for its penguins, sun &amp; sea.

🚰 But it could also become f… https://t.co/53I3sUPMEQ",Mon Jan 22 07:38:09 +0000 2018,0.0,0.0,1.0,0.0
29,30,BBC,"RT @BBCSport: QPR's goalkeeper's water bottle was urinated in during a match.

Here's the full story: https://t.co/lxrXoSMSmg https://t.co/…",Sun Jan 21 21:36:41 +0000 2018,0.0,0.0,1.0,0.0
30,31,BBC,"RT @bbcmusic: The incredible @ConchitaWurst is coming to @BBCRadio2 in Feb backed by a 60 piece orchestra! 😍😱

18 reasons to feel cheerful…",Sun Jan 21 21:36:20 +0000 2018,0.1007,0.062,0.938,0.0
31,32,BBC,RT @BBCOne: When he gets you a present you actually like. #CallTheMidwife https://t.co/S8yWnzPyZs,Sun Jan 21 21:35:59 +0000 2018,0.3612,0.185,0.815,0.0
32,33,BBC,RT @BBCNWT: This Harry Potter Charity shop in Stockport will leave Potterheads Spellbound ❤️️ https://t.co/Y0RPfcQbbr,Sun Jan 21 21:35:56 +0000 2018,0.3818,0.165,0.765,0.071
33,34,BBC,There's skele-TONS of work that goes in to making @BBCOne's #SilentWitness. 💀 https://t.co/0re7JcsX7Q,Sun Jan 21 20:00:08 +0000 2018,0.0,0.0,1.0,0.0
34,35,BBC,"🏃 Fire, ice, leeches and... cream cheese. 🤔

Here are some of the most out-there methods of getting back in action… https://t.co/ri6e791pbQ",Sun Jan 21 19:30:11 +0000 2018,-0.34,0.0,0.888,0.112
35,36,BBC,"The winter continues and the team at Nonnatus House welcome their newest midwife. 🍼 👶

#CallTheMidwife | 8pm |… https://t.co/zScACk0PyI",Sun Jan 21 18:30:14 +0000 2018,0.4588,0.158,0.842,0.0
36,37,BBC,"🦋❤️️ Tommy was abused in a care home as a boy. 

Now at 81, he's making up for the childhood he never had. https://t.co/k5Bi1LRM5g",Sun Jan 21 18:00:07 +0000 2018,-0.0258,0.121,0.755,0.125
37,38,BBC,"❄ #WINTERWATCH ❄ IS ❄ COMING ❄

🤔🐿 Got questions for the @BBCSpringwatch experts about your backyard winter wildlif… https://t.co/HOiXWNHh1H",Sun Jan 21 17:30:06 +0000 2018,0.0,0.0,1.0,0.0
38,39,BBC,"'I deliberately used demeaning language to make her lose confidence in her reading of the situation, of my infideli… https://t.co/0Wy9QvuSlK",Sun Jan 21 16:30:10 +0000 2018,0.1531,0.137,0.75,0.113
39,40,BBC,"Wild, wild, wild 💫🎶
💕 @Harry_Styles' #LiveLounge cover of Wild Thoughts is EVERYTHING. 

Watch in full here 👉… https://t.co/yhrg88nJu3",Sun Jan 21 16:00:02 +0000 2018,0.0,0.0,1.0,0.0
40,41,BBC,"The concept of the Crown dates back at least 2000 years. 

#TheCoronation | @BBCiPlayer | https://t.co/xKAN8yI83s https://t.co/RWrFaf4WHK",Sun Jan 21 15:26:01 +0000 2018,0.0,0.0,1.0,0.0
41,42,BBC,"😬 These men just blew up 20,000 tonnes of beautiful Scottish countryside — but don’t worry, it’s their job!… https://t.co/xPdkm7vK1D",Sun Jan 21 15:00:07 +0000 2018,-0.4003,0.108,0.708,0.183
42,43,BBC,💿🎵 Five ways Jay-Z sampling your track changes your life.  👉 https://t.co/swHjzccIY7 https://t.co/5MH28qSVod,Sun Jan 21 14:30:05 +0000 2018,0.0,0.0,1.0,0.0
43,44,BBC,"From talent-spotting to comeback tours, here's how the music industry really works. 👉 https://t.co/5RvPYkjYpF https://t.co/5AECrv4Ajp",Sun Jan 21 13:30:06 +0000 2018,0.0,0.0,1.0,0.0
44,45,BBC,Six women from the British Army have become the largest all-female group to ski coast-to-coast across Antarctica. ⛷… https://t.co/TzK4nIABl1,Sun Jan 21 13:03:03 +0000 2018,0.0,0.0,1.0,0.0
45,46,BBC,"🐛🍽🐜 Edible insects are often portrayed as a sustainable alternative to livestock. 

But who's already eating them a… https://t.co/FEfFPVRSNw",Sun Jan 21 12:30:06 +0000 2018,0.0,0.0,1.0,0.0
46,47,BBC,🍇👀 Take a peek #InsideTheFactory on @BBCTwo to see how fruit soft drink is made. https://t.co/OBp4p4dQ4n,Sun Jan 21 12:00:05 +0000 2018,0.0,0.0,1.0,0.0
47,48,BBC,😡 People are not happy about these pre-peeled onions wrapped in plastic. https://t.co/dh50rIBA9X https://t.co/WKNW7eiJFY,Sun Jan 21 11:30:07 +0000 2018,-0.4585,0.0,0.8,0.2
48,49,BBC,"👦👧 Experimental nurseries are starting to pop up across the UK, allowing parents to work shifts and save money on c… https://t.co/ajyJiit6h2",Sun Jan 21 11:00:11 +0000 2018,0.4939,0.132,0.868,0.0
49,50,BBC,"A map of the Yorkshire Dales has been ""re-imagined"" in the style of author J.R.R. Tolkien. 🍃 https://t.co/FKFuJIlF15 https://t.co/Gk0o89mkDk",Sun Jan 21 10:33:03 +0000 2018,0.0,0.0,1.0,0.0
50,51,BBC,Are you ready for an internet connected chessboard? https://t.co/XtUZaXK8ab,Sun Jan 21 10:00:02 +0000 2018,0.3612,0.238,0.762,0.0
51,52,BBC,"RT @bbcpress: To mark the 100th anniversary of women’s suffrage in the UK, @BBCRadio3 commissions choral work by Emmeline Pankhurst's great…",Sun Jan 21 09:57:34 +0000 2018,0.0,0.0,1.0,0.0
52,53,BBC,"RT @bbcthree: I broke up with my boyfriend when he had depression

https://t.co/I1rmXNTkFd https://t.co/e3bIWU4EoQ",Sun Jan 21 09:57:11 +0000 2018,-0.7579,0.0,0.629,0.371
